Ticker,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-29 14:30:00+00:00,658.010009765625,660.25,655.5,658.4450073242188,1610881,93.98500061035156,94.97000122070312,93.76000213623047,94.01499938964844,3972825,312.81500244140625,314.1700134277344,311.8999938964844,313.8500061035156,2845493,231.94000244140625,232.60000610351562,230.77000427246094,232.25,3378921,272.69000244140625,274.3599853515625,272.3900146484375,273.9543151855469,3705071
2025-12-29 15:30:00+00:00,658.3701171875,659.3800048828125,657.1300048828125,657.7100219726562,598414,94.0199966430664,94.09500122070312,93.74500274658203,93.84439849853516,2022867,313.81500244140625,314.4620056152344,312.5,312.8074951171875,916108,232.24000549316406,232.3699951171875,231.2899932861328,231.52239990234375,1551364,273.95001220703125,274.0299987792969,272.989990234375,273.2200012207031,1533379
2025-12-29 16:30:00+00:00,657.75,658.0,655.0399780273438,655.489990234375,636449,93.83999633789062,93.95500183105469,93.625,93.66000366210938,1569628,312.7699890136719,313.0,312.3550109863281,312.760009765625,610071,231.5,231.5800018310547,231.0399932861328,231.1300048828125,1210353,273.21881103515625,273.2900085449219,272.8299865722656,273.0400085449219,1203367
2025-12-29 17:30:00+00:00,655.4249877929688,656.8200073242188,654.3900146484375,656.6849975585938,442665,93.66000366210938,93.91999816894531,93.66000366210938,93.91500091552734,1442916,312.7099914550781,313.79998779296875,312.67010498046875,313.614990234375,537862,231.14999389648438,231.83999633789062,231.0800018310547,231.50999450683594,1062191,273.0400085449219,273.6700134277344,272.9502868652344,273.6400146484375,3234552
2025-12-29 18:30:00+00:00,656.6849975585938,657.6799926757812,656.3900146484375,657.4349975585938,385508,93.91999816894531,94.0199966430664,93.83999633789062,93.875,1320215,313.5968017578125,314.4599914550781,313.3500061035156,314.20001220703125,585743,231.50999450683594,231.77920532226562,231.11000061035156,231.32000732421875,1277102,273.6300048828125,274.0,273.44000244140625,273.67999267578125,0
2025-12-29 19:30:00+00:00,657.4400024414062,659.9600219726562,657.3900146484375,659.5900268554688,485188,93.87999725341797,94.44999694824219,93.83499908447266,94.0999984741211,1868750,314.2099914550781,314.9700012207031,313.860107421875,314.3399963378906,623808,231.3249969482422,232.4499969482422,231.30999755859375,232.10000610351562,1755351,273.67999267578125,274.0,273.6700134277344,273.9028015136719,1410063
2025-12-29 20:30:00+00:00,659.5399780273438,659.8099975585938,658.3200073242188,658.5499877929688,486363,94.1050033569336,94.25,94.08999633789062,94.13999938964844,1994912,314.32000732421875,314.7300109863281,314.1300048828125,314.3800048828125,3980055,232.08999633789062,232.38999938964844,231.89999389648438,232.0800018310547,1417358,273.9100036621094,273.94000244140625,273.4599914550781,273.79901123046875,1452813
2025-12-30 14:30:00+00:00,658.6900024414062,672.219970703125,657.8400268554688,666.8065185546875,2445233,93.5374984741211,93.98989868164062,93.41999816894531,93.64009857177734,3455118,313.6000061035156,317.70001220703125,313.25,314.3399963378906,1938831,230.25,232.35000610351562,230.1999969482422,231.30499267578125,3431235,274.0,274.07000732421875,272.3948059082031,272.5899963378906,3335833
