Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-17 09:30:00-04:00,77.80999755859375,78.52999877929688,76.66000366210938,76.8499984741211,5724639,344.07501220703125,345.0,341.010009765625,341.3500061035156,2653618,265.44000244140625,265.75,260.70001220703125,260.8099060058594,12189544,589.75,590.239990234375,577.6099853515625,578.114990234375,3264745,306.2099914550781,307.6600036621094,304.05499267578125,304.4949951171875,7901505
2026-08-17 10:30:00-04:00,76.85710144042969,76.95010375976562,76.36499786376953,76.55500030517578,3160899,341.2850036621094,341.97088623046875,339.57000732421875,341.48480224609375,1876011,260.7900085449219,261.7200012207031,260.0799865722656,261.7099914550781,5607434,578.0999755859375,578.1898803710938,572.8510131835938,575.030029296875,2261534,304.48419189453125,304.9100036621094,303.6499938964844,304.5350036621094,4144849
2026-08-17 11:30:00-04:00,76.55500030517578,76.69999694824219,76.36499786376953,76.58499908447266,4122501,341.4849853515625,342.04998779296875,340.6600036621094,341.8999938964844,1293305,261.715087890625,261.7300109863281,260.20001220703125,260.50201416015625,3281013,575.0700073242188,575.1199951171875,569.0499877929688,569.5750122070312,2132997,304.5400085449219,304.5950927734375,303.04998779296875,303.55499267578125,2930675
2026-08-17 12:30:00-04:00,76.58999633789062,76.63999938964844,76.05999755859375,76.08499908447266,2737737,341.8800048828125,342.1299133300781,340.1499938964844,340.7799072265625,1232539,260.489990234375,260.56988525390625,258.5899963378906,258.6499938964844,4828205,569.5750122070312,569.8200073242188,566.1605224609375,566.4299926757812,2291129,303.55999755859375,304.42498779296875,302.9389953613281,304.4150085449219,2489734
2026-08-17 13:30:00-04:00,76.08499908447266,76.19000244140625,75.58999633789062,75.61499786376953,2687323,340.7650146484375,341.54998779296875,340.32000732421875,341.32501220703125,855205,258.6549987792969,260.2099914550781,258.3389892578125,259.6400146484375,3758046,566.4299926757812,567.8200073242188,564.75,567.1400146484375,1944424,304.4150085449219,304.94000244140625,303.9599914550781,304.7049865722656,2462965
2026-08-17 14:30:00-04:00,75.61990356445312,75.83999633789062,75.46499633789062,75.7750015258789,3571274,341.32501220703125,341.70001220703125,341.05999755859375,341.43499755859375,953487,259.6499938964844,260.6700134277344,259.45001220703125,260.510009765625,3656549,567.1799926757812,569.97998046875,566.8101196289062,569.3150024414062,1459681,304.70001220703125,306.1600036621094,304.69049072265625,306.1449890136719,2925518
2026-08-17 15:30:00-04:00,75.7750015258789,76.06999969482422,75.69999694824219,76.02999877929688,4216998,341.3999938964844,341.6000061035156,340.8500061035156,341.4599914550781,1732343,260.5199890136719,261.3999938964844,259.7699890136719,261.3349914550781,4464879,569.280029296875,569.593994140625,567.7235107421875,569.010009765625,1809520,306.1499938964844,306.32000732421875,305.0299987792969,305.69000244140625,3979916
2026-08-18 09:30:00-04:00,77.35189819335938,78.52999877929688,76.33999633789062,78.12999725341797,8458705,339.8046875,341.95001220703125,337.5199890136719,341.8999938964844,2930089,260.6300048828125,261.2699890136719,257.7300109863281,261.14599609375,7344434,557.3099975585938,560.6300048828125,546.6099853515625,547.8316040039062,7947794,307.5299987792969,310.2699890136719,305.739990234375,309.659912109375,0
