Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-04 09:30:00-04:00,339.2049865722656,340.17999267578125,334.6099853515625,334.668701171875,3028585,612.4949951171875,616.3300170898438,605.27001953125,609.2999877929688,3712138,259.2149963378906,261.1199951171875,256.80999755859375,257.30999755859375,6649791,328.30499267578125,328.92999267578125,320.44000244140625,320.7099914550781,9203066,82.16999816894531,82.69000244140625,80.70999908447266,80.71499633789062,5574722
2026-09-04 10:30:00-04:00,334.67999267578125,335.9200134277344,333.75,334.3900146484375,1508711,609.280029296875,613.4000244140625,608.1599731445312,612.010009765625,1810974,257.3299865722656,257.5,255.2899932861328,255.9949951171875,3872571,320.7099914550781,321.1600036621094,317.8599853515625,319.4700012207031,6226795,80.72000122070312,80.88999938964844,79.4000015258789,79.4749984741211,7839776
2026-09-04 11:30:00-04:00,334.4100036621094,335.523193359375,334.1300048828125,335.2900085449219,898069,612.02001953125,614.3399047851562,609.72998046875,612.885009765625,1168367,255.9949951171875,257.1199035644531,255.6699981689453,257.0400085449219,2328037,319.4700012207031,321.3291931152344,319.1099853515625,320.5,4008228,79.4800033569336,79.59030151367188,78.91010284423828,79.33999633789062,5897075
2026-09-04 12:30:00-04:00,335.260009765625,335.625,335.07000732421875,335.4200134277344,928975,612.9000244140625,613.34130859375,608.719970703125,609.5,746925,257.0400085449219,257.3900146484375,256.82000732421875,256.8800048828125,1761332,320.51739501953125,321.8999938964844,320.41009521484375,321.68499755859375,2654137,79.33000183105469,79.37000274658203,78.8499984741211,78.9800033569336,2815011
2026-09-04 13:30:00-04:00,335.3599853515625,335.3999938964844,334.45001220703125,335.1000061035156,841721,609.5,612.6300048828125,608.1024169921875,610.864990234375,1023568,256.8399963378906,257.4999084472656,256.68499755859375,257.32501220703125,1919458,321.67999267578125,321.67999267578125,320.739990234375,320.8800048828125,1957604,78.98999786376953,79.17500305175781,78.841796875,79.00499725341797,2244332
2026-09-04 14:30:00-04:00,335.1099853515625,336.3500061035156,335.010009765625,336.3500061035156,969933,610.8599853515625,617.25,610.0401000976562,617.0183715820312,1642364,257.3399963378906,258.5,257.30999755859375,258.44500732421875,2849453,320.8800048828125,322.1000061035156,320.8599853515625,321.7850036621094,2682837,79.00499725341797,79.19999694824219,78.66999816894531,78.68499755859375,3283188
2026-09-04 15:30:00-04:00,336.3349914550781,336.3900146484375,335.1300048828125,335.2699890136719,1838179,617.0700073242188,617.4600219726562,615.4000244140625,616.75,1392686,258.4049987792969,259.2799987792969,258.25,258.510009765625,3531659,321.7699890136719,321.8091125488281,319.6510009765625,319.989990234375,4295687,78.67500305175781,78.69499969482422,78.2300033569336,78.23999786376953,6693580
2026-09-08 09:30:00-04:00,331.94000244140625,333.6300048828125,330.3900146484375,331.8999938964844,3378715,615.875,623.219970703125,615.0504760742188,616.2100219726562,3197329,256.760009765625,257.69000244140625,254.8000030517578,255.14300537109375,6578319,317.1199951171875,320.70001220703125,315.2919921875,315.6700134277344,7866168,77.51000213623047,77.72000122070312,75.91999816894531,76.40989685058594,9572851
