Ticker,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11 13:30:00+00:00,604.5700073242188,604.9069213867188,599.8001098632812,602.6199951171875,3835460,86.5199966430664,87.33999633789062,86.27999877929688,87.30500030517578,7337222,390.69000244140625,394.3299865722656,388.7101135253906,389.8800048828125,4021565,291.97900390625,293.1499938964844,290.2300109863281,292.0450134277344,9227947,269.8349914550781,273.6300048828125,269.1700134277344,271.9599914550781,8972888
2026-05-11 14:30:00+00:00,602.60498046875,603.1900024414062,600.0999755859375,602.397216796875,2157839,87.30999755859375,87.33999633789062,86.51210021972656,86.58499908447266,3179028,389.8500061035156,391.7900085449219,389.07000732421875,390.4599914550781,1772398,292.0450134277344,293.5899963378906,291.75,293.3699035644531,4290117,271.9649963378906,272.6449890136719,271.0299987792969,272.55499267578125,3774316
2026-05-11 15:30:00+00:00,602.4349975585938,604.6099853515625,601.780029296875,602.7050170898438,1270209,86.58999633789062,86.66000366210938,86.30000305175781,86.38500213623047,3140664,390.45989990234375,391.6300048828125,390.2300109863281,390.8949890136719,1276780,293.3699951171875,293.8800048828125,291.8214111328125,292.4150085449219,3777650,272.55999755859375,273.07000732421875,271.9200134277344,272.2699890136719,3294209
2026-05-11 16:30:00+00:00,602.7050170898438,604.3900146484375,599.8800048828125,601.3099975585938,1541867,86.38999938964844,86.40499877929688,85.27999877929688,85.30999755859375,4984803,390.8699951171875,391.3500061035156,389.05999755859375,389.8900146484375,1267195,292.4150085449219,292.7049865722656,290.6300048828125,291.94000244140625,3556324,272.2699890136719,272.42999267578125,270.8500061035156,270.8599853515625,3011980
2026-05-11 17:30:00+00:00,601.3099975585938,603.4149780273438,600.0999755859375,600.5499877929688,1135101,85.30500030517578,85.52999877929688,85.12000274658203,85.26499938964844,4121654,389.8900146484375,390.6625061035156,389.1600036621094,389.17010498046875,1157997,291.9399108886719,292.9800109863281,291.7250061035156,291.739990234375,2587000,270.8500061035156,271.2200012207031,270.04998779296875,270.1050109863281,2423566
2026-05-11 18:30:00+00:00,600.5499877929688,600.6900024414062,598.6400146484375,599.5,1796534,85.26499938964844,85.5,85.19999694824219,85.43000030517578,4289416,389.1700134277344,389.20001220703125,386.9100036621094,387.79998779296875,1766866,291.739990234375,292.20989990234375,290.8599853515625,292.1499938964844,2874040,270.1000061035156,270.17999267578125,269.25,269.9100036621094,3225118
2026-05-11 19:30:00+00:00,599.489990234375,599.9000244140625,598.080078125,598.8499755859375,1511849,85.42500305175781,85.46009826660156,85.0999984741211,85.44999694824219,5746679,387.7900085449219,388.0899963378906,386.32000732421875,386.739990234375,2001345,292.1459045410156,292.79998779296875,291.80999755859375,292.739990234375,3307424,269.9100036621094,269.94000244140625,268.489990234375,268.989990234375,3805095
2026-05-12 13:30:00+00:00,594.4149780273438,603.7449951171875,592.6500244140625,602.02001953125,3425715,85.90499877929688,88.2750015258789,85.80999755859375,88.2041015625,8394008,385.1000061035156,386.32000732421875,382.0799865722656,383.79400634765625,3501271,292.7550048828125,294.80999755859375,292.614990234375,293.9399108886719,11112742,266.2699890136719,267.6499938964844,264.04998779296875,264.81500244140625,8162444
