Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-06 13:30:00+00:00,294.70001220703125,297.19000244140625,293.79998779296875,296.7900085449219,2264691,101.8499984741211,102.68499755859375,99.37999725341797,99.41000366210938,12711123,210.30999755859375,212.9499969482422,210.00999450683594,212.30999755859375,5281769,256.9624938964844,262.0199890136719,256.4800109863281,261.760009765625,6693044,577.2020263671875,582.7899780273438,576.4801025390625,577.2698974609375,1771883
2026-04-06 14:30:00+00:00,296.7799987792969,296.9049987792969,295.05999755859375,295.6000061035156,1259372,99.41000366210938,99.41999816894531,98.5,98.55000305175781,4913669,212.32000732421875,212.89999389648438,211.40499877929688,212.3800048828125,3066384,261.760009765625,262.1600036621094,258.9700012207031,259.25,3953211,577.3599853515625,578.989990234375,573.5599975585938,576.8300170898438,1245016
2026-04-06 15:30:00+00:00,295.6199951171875,296.8500061035156,295.1499938964844,296.7550048828125,748751,98.55500030517578,98.57990264892578,97.97000122070312,98.31500244140625,3369829,212.3699951171875,212.8795928955078,212.02000427246094,212.77000427246094,1962693,259.2301025390625,259.6300048828125,258.7099914550781,259.0400085449219,2022687,576.8499755859375,579.3098754882812,576.02001953125,579.1199951171875,675882
2026-04-06 16:30:00+00:00,296.7799987792969,297.55499267578125,295.94500732421875,297.2250061035156,911646,98.31500244140625,99.16000366210938,98.2699966430664,98.96499633789062,3569622,212.77999877929688,212.8249969482422,211.23049926757812,211.89999389648438,2933587,259.0299987792969,259.55999755859375,257.9100036621094,258.7799987792969,2006161,579.125,580.2399291992188,575.2100219726562,577.0,835624
2026-04-06 17:30:00+00:00,297.2099914550781,298.42498779296875,296.4700012207031,298.17999267578125,802286,98.95999908447266,99.0999984741211,98.70999908447266,99.00499725341797,2378781,211.89999389648438,212.2700958251953,211.17999267578125,212.02499389648438,2284147,258.7900085449219,259.3900146484375,257.8500061035156,259.2799987792969,2071173,577.0399780273438,578.760009765625,575.0701293945312,578.0700073242188,639016
2026-04-06 18:30:00+00:00,298.18499755859375,298.4110107421875,297.7799987792969,297.8699951171875,771051,99.00499725341797,99.08999633789062,98.5999984741211,98.67500305175781,2164545,212.02999877929688,212.53680419921875,212.0,212.22000122070312,1966790,259.28009033203125,259.3699035644531,258.0199890136719,258.2499084472656,2221241,578.1400146484375,578.6099853515625,576.6300048828125,576.8300170898438,537339
2026-04-06 19:30:00+00:00,297.8699951171875,298.04998779296875,297.2699890136719,297.7200012207031,964487,98.67500305175781,98.98999786376953,98.61000061035156,98.97000122070312,3268223,212.1999969482422,212.86000061035156,212.1649932861328,212.7899932861328,2947191,258.2300109863281,259.07501220703125,258.1300048828125,258.8869934082031,2757592,576.844970703125,577.0800170898438,572.4450073242188,573.02001953125,1677283
2026-04-07 13:30:00+00:00,300.1499938964844,301.0799865722656,295.42999267578125,298.4200134277344,4477491,99.25,99.87000274658203,98.44000244140625,99.04000091552734,6127167,211.21499633789062,212.5,209.6403045654297,210.59010314941406,6277121,254.72000122070312,254.79989624023438,247.57000732421875,247.6699981689453,13859963,570.3800048828125,572.2999267578125,565.6099853515625,569.9349975585938,2136398
