Ticker,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01 09:30:00-04:00,629.4149780273438,635.6799926757812,609.8499755859375,610.205810546875,6161308,372.281005859375,373.6499938964844,369.7099914550781,372.05999755859375,4376541,85.79000091552734,87.2249984741211,85.38999938964844,85.44499969482422,7934446,309.5350036621094,310.92999267578125,307.79998779296875,307.8399963378906,10175199,266.2900085449219,266.6300048828125,262.30999755859375,264.260009765625,12292922
2026-06-01 10:30:00-04:00,610.0700073242188,616.0399780273438,609.030029296875,613.3699951171875,3400383,372.0899963378906,373.7799987792969,371.20001220703125,371.82000732421875,1527601,85.44000244140625,85.87000274658203,85.31500244140625,85.7300033569336,5778733,307.80999755859375,308.4700012207031,306.29998779296875,306.5751037597656,5691006,264.260009765625,264.75,262.75,264.0498962402344,5899992
2026-06-01 11:30:00-04:00,613.4000244140625,616.7896728515625,610.4099731445312,611.75,2286727,371.79998779296875,372.57000732421875,370.7099914550781,371.0920104980469,1167026,85.72000122070312,86.08000183105469,85.55999755859375,85.95249938964844,3458311,306.55999755859375,307.260009765625,305.489990234375,305.7200012207031,4171810,264.0400085449219,264.95001220703125,261.5,262.6899108886719,6461516
2026-06-01 12:30:00-04:00,611.780029296875,612.3599853515625,607.77001953125,610.3499755859375,2160577,371.07000732421875,374.05499267578125,370.8949890136719,374.0199890136719,1494102,85.95500183105469,86.15499877929688,85.6050033569336,85.93499755859375,2733829,305.739990234375,306.5299987792969,305.0299987792969,306.4700012207031,3705835,262.7250061035156,263.1300048828125,260.70001220703125,261.8699951171875,5258392
2026-06-01 13:30:00-04:00,610.3099975585938,611.6699829101562,606.280029296875,607.6589965820312,3293086,374.07000732421875,374.4599914550781,371.57000732421875,373.3500061035156,1383264,85.93499755859375,86.02999877929688,85.58499908447266,85.83499908447266,2650038,306.5199890136719,308.3999938964844,306.30999755859375,307.8699951171875,3768496,261.8699951171875,262.8500061035156,261.32000732421875,262.3500061035156,4873343
2026-06-01 14:30:00-04:00,607.72998046875,608.4000244140625,604.8599853515625,605.489990234375,3463618,373.3349914550781,374.4100036621094,373.0400085449219,374.3900146484375,1178161,85.83000183105469,86.22000122070312,85.75499725341797,85.96150207519531,3177544,307.864990234375,308.32501220703125,307.3299865722656,307.42999267578125,3948458,262.3550109863281,264.1600036621094,262.32000732421875,263.6499938964844,5143781
2026-06-01 15:30:00-04:00,605.4000244140625,605.9199829101562,599.530029296875,600.3699951171875,4398491,374.3599853515625,374.6000061035156,372.3599853515625,372.5799865722656,1238155,85.96499633789062,86.06999969482422,85.80000305175781,85.83499908447266,3076964,307.43499755859375,308.0400085449219,305.909912109375,306.32000732421875,5261936,263.6499938964844,263.7300109863281,261.0,261.239990234375,6116509
2026-06-02 09:30:00-04:00,603.3499755859375,605.77001953125,596.6799926757812,603.2050170898438,5067468,363.2799987792969,367.44189453125,355.0,367.0199890136719,11579040,85.6050033569336,85.97989654541016,83.45999908447266,84.04000091552734,9903246,307.4599914550781,310.4700012207031,306.7200012207031,310.3399963378906,7411659,257.1600036621094,258.0,254.3699951171875,257.7799987792969,11580176
