Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
2026-03-25 14:30:00+00:00,92.16000366210938,92.42990112304688,91.45999908447266,91.9000015258789,3130890,599.7849731445312,600.6978759765625,593.6400756835938,598.1199951171875,1834007,211.86000061035156,212.4600067138672,209.89999389648438,211.16000366210938,4630989,252.8699951171875,254.2899932861328,252.60000610351562,254.2449951171875,3411621,289.6400146484375,290.8699951171875,288.05999755859375,289.7900085449219,2991639
2026-03-25 15:30:00+00:00,91.90499877929688,92.12999725341797,91.24500274658203,92.1050033569336,2523819,598.125,600.0,597.0399780273438,598.6898803710938,1245787,211.13999938964844,212.05999755859375,210.52499389648438,211.88999938964844,3209386,254.24000549316406,254.4600067138672,253.08999633789062,253.9250030517578,2284849,289.7799987792969,289.9599914550781,288.1300048828125,289.55999755859375,2019114
2026-03-25 16:30:00+00:00,92.1050033569336,92.50499725341797,92.05999755859375,92.31500244140625,4281537,598.5700073242188,602.5599975585938,596.8699951171875,601.4249877929688,890866,211.88999938964844,212.7100067138672,211.74000549316406,212.5500030517578,3598867,254.0,254.64999389648438,253.74000549316406,254.14500427246094,2123725,289.70001220703125,289.94000244140625,288.6000061035156,289.19000244140625,1656445
2026-03-25 17:30:00+00:00,92.31999969482422,92.5199966430664,92.11499786376953,92.2074966430664,2872276,601.47998046875,601.7100219726562,596.3806762695312,596.5750122070312,1212191,212.55999755859375,212.89999389648438,211.35000610351562,211.64999389648438,3482464,254.1199951171875,254.50999450683594,253.73500061035156,253.9600067138672,1763468,289.20001220703125,290.0459899902344,288.0513916015625,288.215087890625,1788556
2026-03-25 18:30:00+00:00,92.19999694824219,92.46990203857422,92.0250015258789,92.16500091552734,2925822,596.6099853515625,598.9500122070312,593.75,595.9299926757812,1531290,211.63999938964844,211.82000732421875,210.9199981689453,211.47000122070312,2777059,253.9499969482422,254.05499267578125,252.25999450683594,252.625,2548509,288.2349853515625,288.55999755859375,287.3699951171875,288.3800048828125,1929202
2026-03-25 19:30:00+00:00,92.16500091552734,92.38500213623047,91.97000122070312,92.27999877929688,3430431,595.8800048828125,595.8800048828125,593.4000244140625,594.9500122070312,1394525,211.4600067138672,211.75,211.05999755859375,211.7050018310547,3712944,252.63499450683594,252.71499633789062,252.00999450683594,252.57000732421875,3058584,288.3800048828125,289.6700134277344,288.20001220703125,289.5799865722656,2287259
2026-03-26 13:30:00+00:00,91.53399658203125,93.68499755859375,91.01000213623047,93.16999816894531,7711617,582.530029296875,583.0,568.6500244140625,568.7899780273438,6595218,210.57000732421875,212.52000427246094,207.8000030517578,212.0,9405025,251.9949951171875,256.239990234375,250.77499389648438,255.91000366210938,7345489,286.04901123046875,286.2950134277344,282.92999267578125,284.875,5681304
2026-03-26 14:30:00+00:00,93.16000366210938,93.44000244140625,92.59500122070312,92.66000366210938,4435860,568.7899780273438,570.530029296875,560.5399780273438,560.905029296875,5608302,211.97999572753906,212.88499450683594,211.42999267578125,211.92999267578125,6510020,255.89999389648438,257.0,255.50999450683594,255.67999267578125,5446373,284.9049987792969,286.5150146484375,284.1000061035156,284.5299987792969,3159349
2026-03-26 15:30:00+00:00,92.66000366210938,92.98999786376953,92.33999633789062,92.37000274658203,3195659,560.8724975585938,560.909912109375,553.5399780273438,554.5250244140625,4725766,211.9429931640625,212.44000244140625,210.27999877929688,210.42999267578125,4772819,255.69000244140625,256.7699890136719,255.57000732421875,256.1000061035156,3382555,284.5,284.6400146484375,283.20001220703125,283.3599853515625,2261968
2026-03-26 16:30:00+00:00,92.37000274658203,93.44000244140625,92.12999725341797,93.32499694824219,4498767,554.52001953125,555.8800048828125,550.3099975585938,551.2255249023438,3785873,210.42999267578125,210.52999877929688,209.10000610351562,209.25,3929183,256.1000061035156,256.4599914550781,254.59010314941406,254.99000549316406,3520903,283.3399963378906,283.7489929199219,281.9100036621094,282.1650085449219,2863978
2026-03-26 17:30:00+00:00,93.31999969482422,95.86000061035156,92.80000305175781,93.61000061035156,13503144,551.1749877929688,553.0800170898438,543.3499755859375,544.1300048828125,4573485,209.25,209.3300018310547,207.91000366210938,208.19000244140625,4240482,254.97999572753906,255.11500549316406,253.38999938964844,253.8249969482422,4260523,282.1549987792969,282.5400085449219,279.04998779296875,280.45001220703125,3973707
2026-03-26 18:30:00+00:00,93.62000274658203,94.3550033569336,93.30999755859375,93.83499908447266,10688489,544.1400146484375,550.0,543.7301025390625,549.7949829101562,3698560,208.19000244140625,208.38999938964844,207.6999969482422,208.27139282226562,4263834,253.85000610351562,254.51499938964844,253.13999938964844,253.6699981689453,3242928,280.5,281.4750061035156,280.010009765625,281.0899963378906,2665996
2026-03-26 19:30:00+00:00,93.8322982788086,93.875,93.25,93.3499984741211,7890336,549.7949829101562,549.969970703125,546.1599731445312,547.1500244140625,3198585,208.28990173339844,208.36000061035156,207.1199951171875,207.52999877929688,4769128,253.67999267578125,253.72500610351562,252.02000427246094,252.8800048828125,4420545,281.135009765625,281.410888671875,279.8500061035156,280.7300109863281,3306375
2026-03-27 13:30:00+00:00,94.53399658203125,95.57990264892578,92.98999786376953,93.73500061035156,13648028,539.5599975585938,543.5999145507812,529.8300170898438,531.0,7049851,206.3249969482422,206.4199981689453,201.06500244140625,201.2301025390625,11035390,253.91000366210938,255.4929962158203,252.7801055908203,254.47999572753906,9684416,277.3999938964844,278.8599853515625,274.8999938964844,277.69500732421875,5764649
2026-03-27 14:30:00+00:00,93.73500061035156,93.9800033569336,93.08999633789062,93.74500274658203,5372662,530.9099731445312,533.1199951171875,526.530029296875,529.3350219726562,4040232,201.22999572753906,201.85879516601562,200.27000427246094,201.08999633789062,7705452,254.4600067138672,254.69000244140625,251.8000030517578,252.6199951171875,5252638,277.6499938964844,279.0899963378906,277.1199951171875,277.989990234375,3247013
2026-03-27 15:30:00+00:00,93.73999786376953,93.91000366210938,93.13020324707031,93.30000305175781,3615766,529.3099975585938,530.8099975585938,526.1099853515625,527.0650024414062,3185566,201.08999633789062,201.72000122070312,200.47000122070312,200.72999572753906,6035750,252.6199951171875,253.24000549316406,251.69000244140625,251.77999877929688,3302520,278.0,278.4100036621094,275.9800109863281,276.15008544921875,2519428
2026-03-27 16:30:00+00:00,93.29499816894531,93.80000305175781,93.25,93.29000091552734,3326168,527.0650024414062,530.489990234375,523.5800170898438,524.3400268554688,3139821,200.72000122070312,201.8300018310547,200.47999572753906,200.8300018310547,4411988,251.77499389648438,252.75999450683594,250.3699951171875,250.41000366210938,3282303,276.1700134277344,276.57501220703125,274.2699890136719,274.3800048828125,2507244
2026-03-27 17:30:00+00:00,93.27999877929688,93.67500305175781,93.2249984741211,93.5250015258789,3441703,524.27001953125,524.489990234375,520.260009765625,524.114990234375,3716265,200.82000732421875,200.94000244140625,200.16000366210938,200.4499969482422,4756624,250.41000366210938,250.5800018310547,248.63499450683594,249.38499450683594,4579763,274.3800048828125,275.17999267578125,273.67999267578125,275.0199890136719,2642999
2026-03-27 18:30:00+00:00,93.5199966430664,93.54000091552734,92.73999786376953,93.5250015258789,4030471,524.02001953125,526.7000122070312,523.4099731445312,526.405029296875,2907589,200.44000244140625,200.60000610351562,199.4550018310547,200.11000061035156,6656841,249.4199981689453,249.52000427246094,248.25,248.40989685058594,4113587,274.989990234375,275.45001220703125,274.4100036621094,274.5299987792969,1976124
2026-03-27 19:30:00+00:00,93.5250015258789,93.61000061035156,93.04000091552734,93.44000244140625,5083660,526.4199829101562,527.2000122070312,524.2000122070312,525.7100219726562,2524886,200.11500549316406,200.27699279785156,199.13999938964844,199.32000732421875,6656843,248.41000366210938,249.3699951171875,248.07000732421875,248.6199951171875,5252096,274.5350036621094,274.9097900390625,273.4800109863281,273.69000244140625,2660438
2026-03-30 13:30:00+00:00,92.75700378417969,94.48999786376953,92.22000122070312,93.33000183105469,7780748,536.375,537.2000122070312,528.5399780273438,532.5399780273438,5753296,201.35000610351562,202.35000610351562,200.19000244140625,201.42999267578125,8635134,249.9949951171875,250.83999633789062,246.97000122070312,247.80999755859375,6063643,275.8900146484375,276.260009765625,272.510009765625,273.1199951171875,5653193
