Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-09 13:30:00+00:00,294.1400146484375,298.2698974609375,293.989990234375,296.7550048828125,4525659,97.69000244140625,98.94000244140625,96.70999908447266,96.83499908447266,9992841,210.4600067138672,212.2949981689453,207.11000061035156,209.0500030517578,13347555,255.69000244140625,257.0198974609375,253.6804962158203,255.7100067138672,7181497,634.7525024414062,637.6890258789062,626.780029296875,631.0800170898438,3430864
2026-03-09 14:30:00+00:00,296.7300109863281,299.70001220703125,296.70001220703125,299.17999267578125,2078179,96.8301010131836,97.47000122070312,96.58000183105469,97.41000366210938,6559490,209.02999877929688,210.83999633789062,208.8300018310547,210.55999755859375,6725876,255.66000366210938,257.8800048828125,255.6300048828125,257.7300109863281,3727402,630.8200073242188,637.5800170898438,630.8200073242188,636.4199829101562,1289748
2026-03-09 15:30:00+00:00,299.15020751953125,301.0899963378906,298.6600036621094,300.5199890136719,1625634,97.40499877929688,97.98999786376953,97.13999938964844,97.82389831542969,4126455,210.56500244140625,210.75,209.82000732421875,210.11500549316406,4403943,257.7200012207031,258.2699890136719,257.1499938964844,257.57000732421875,3050497,636.614990234375,638.22998046875,635.2100219726562,636.719970703125,908345
2026-03-09 16:30:00+00:00,300.6199951171875,301.6600036621094,299.8299865722656,300.44500732421875,1380232,97.83000183105469,98.20999908447266,97.37000274658203,97.41000366210938,4790565,210.11500549316406,210.47999572753906,209.1699981689453,209.58999633789062,4161290,257.5799865722656,258.0899963378906,256.5400085449219,256.6300048828125,2401092,636.8049926757812,637.8200073242188,633.6300048828125,633.9949951171875,680621
2026-03-09 17:30:00+00:00,300.44000244140625,301.6499938964844,300.25,300.8599853515625,1628456,97.4000015258789,97.67500305175781,97.11000061035156,97.37000274658203,3532752,209.5800018310547,209.92999267578125,208.8300018310547,209.35499572753906,3708315,256.6499938964844,257.364990234375,255.9499969482422,257.1499938964844,2688859,633.9949951171875,635.7000122070312,633.010009765625,634.3350219726562,827010
2026-03-09 18:30:00+00:00,300.79998779296875,304.8349914550781,300.7900085449219,304.7550048828125,2522692,97.375,98.0999984741211,97.30000305175781,97.91000366210938,4592414,209.33999633789062,212.69000244140625,208.99000549316406,212.6750030517578,6976298,257.1317138671875,259.57000732421875,256.5199890136719,259.4800109863281,4105990,634.260009765625,644.3800048828125,634.260009765625,644.3300170898438,1196150
2026-03-09 19:30:00+00:00,304.760009765625,306.5,304.20001220703125,306.0199890136719,3152870,97.91500091552734,98.5,97.76000213623047,98.30000305175781,5451608,212.67999267578125,213.82000732421875,212.42999267578125,213.4199981689453,7206471,259.4599914550781,261.1499938964844,259.010009765625,259.8900146484375,4821540,644.22998046875,647.739990234375,642.760986328125,647.3499755859375,1695679
2026-03-10 13:30:00+00:00,305.875,308.2200012207031,305.30999755859375,306.32989501953125,2830827,97.80500030517578,98.48999786376953,96.58000183105469,96.84700012207031,8638521,214.125,214.83999633789062,212.42999267578125,214.0500030517578,7506292,257.69500732421875,260.25,256.95001220703125,259.9700012207031,5290551,653.5599975585938,659.7000122070312,649.0,652.5050048828125,2450540
