Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:30:00+00:00,271.4800109863281,272.9800109863281,271.2101135253906,272.6199951171875,2607643,615.0900268554688,617.159912109375,613.5401000976562,616.6801147460938,720943,393.2799987792969,394.8699951171875,392.55999755859375,393.95001220703125,907698,288.7449951171875,289.7699890136719,287.8999938964844,288.2699890136719,3005520,88.40499877929688,88.5999984741211,88.19000244140625,88.5250015258789,2311640
2026-05-07 18:30:00+00:00,272.614990234375,272.8399963378906,271.3800048828125,271.9800109863281,2738089,616.6799926757812,617.2999267578125,615.030029296875,615.8099975585938,719933,393.95001220703125,394.7699890136719,391.70001220703125,393.3550109863281,1292492,288.2799987792969,288.3399963378906,285.7799987792969,286.739990234375,4941011,88.5250015258789,88.79000091552734,88.31009674072266,88.40260314941406,2418412
2026-05-07 19:30:00+00:00,271.9700012207031,272.1300048828125,270.489990234375,271.25,3492195,615.8049926757812,617.989990234375,615.27001953125,616.9600219726562,892716,393.3900146484375,395.510009765625,392.6499938964844,395.2900085449219,1590434,286.7349853515625,287.55999755859375,286.2799987792969,287.4700012207031,3254466,88.4000015258789,88.68499755859375,88.12999725341797,88.26000213623047,4117619
2026-05-08 13:30:00+00:00,271.6300048828125,273.3758850097656,269.95001220703125,272.4200134277344,7499357,615.2000122070312,616.77001953125,612.3099975585938,612.8499755859375,2486609,394.4175109863281,398.0,393.67999267578125,396.4700012207031,2761109,290.1099853515625,294.55499267578125,290.0,293.7850036621094,11356891,87.70999908447266,88.0199966430664,87.20999908447266,87.55999755859375,6517722
2026-05-08 14:30:00+00:00,272.4150085449219,272.8999938964844,271.4200134277344,272.8999938964844,3410690,612.8699951171875,613.52001953125,608.0999755859375,608.9000244140625,2114789,396.4700012207031,397.5799865722656,395.2300109863281,396.0976867675781,1335319,293.7699890136719,294.760009765625,292.4200134277344,292.8500061035156,7279310,87.55000305175781,88.04000091552734,87.46499633789062,87.67500305175781,3853361
2026-05-08 15:30:00+00:00,272.9100036621094,273.489990234375,272.3500061035156,272.9601135253906,3628643,608.8900146484375,610.2999877929688,606.0601196289062,608.0999755859375,1911388,396.05999755859375,396.2099914550781,395.0299987792969,395.32000732421875,1040807,292.8500061035156,293.0400085449219,292.18011474609375,292.79998779296875,3193255,87.68000030517578,87.88999938964844,87.44000244140625,87.63009643554688,3033851
2026-05-08 16:30:00+00:00,272.94500732421875,273.29998779296875,272.1499938964844,272.340087890625,2726791,608.2180786132812,610.25,607.5,609.9149780273438,941103,395.2699890136719,395.55999755859375,393.79998779296875,394.5299987792969,967281,292.79998779296875,292.79998779296875,291.7500915527344,292.1499938964844,4004012,87.63020324707031,87.9800033569336,87.41500091552734,87.43499755859375,2925608
2026-05-08 17:30:00+00:00,272.3900146484375,273.0,272.1600036621094,272.5050048828125,2718015,609.8699951171875,611.5,608.7000122070312,611.35498046875,853682,394.5,396.1000061035156,394.3599853515625,396.0299987792969,762963,292.1400146484375,292.8599853515625,292.07000732421875,292.7229919433594,2447225,87.43000030517578,87.65840148925781,87.4000015258789,87.55500030517578,2265394
2026-05-08 18:30:00+00:00,272.5198974609375,273.1642150878906,271.9130859375,273.0849914550781,3198995,611.4000244140625,611.5,608.72998046875,610.239990234375,1281593,395.9750061035156,396.2900085449219,395.1700134277344,395.8999938964844,1299276,292.7651062011719,293.6000061035156,292.3900146484375,293.42999267578125,3970671,87.55500030517578,87.88999938964844,87.38500213623047,87.73500061035156,3217617
2026-05-08 19:30:00+00:00,273.07000732421875,274.0,272.5,272.67999267578125,5023532,610.25,611.0,609.3499755859375,609.6400146484375,1471351,395.8699951171875,398.3699951171875,395.82000732421875,397.07000732421875,2063151,293.45001220703125,294.25,293.1000061035156,293.2799987792969,6088657,87.73500061035156,87.79499816894531,87.38999938964844,87.44999694824219,5810488
2026-05-11 13:30:00+00:00,269.8349914550781,273.6300048828125,269.1700134277344,271.9599914550781,8972888,604.5700073242188,604.9069213867188,599.8001098632812,602.6199951171875,3835460,390.69000244140625,394.3299865722656,388.7101135253906,389.8800048828125,4021565,291.97900390625,293.1499938964844,290.2300109863281,292.0450134277344,9227947,86.5199966430664,87.33999633789062,86.27999877929688,87.30500030517578,7337222
2026-05-11 14:30:00+00:00,271.9649963378906,272.6449890136719,271.0299987792969,272.55499267578125,3774316,602.60498046875,603.1900024414062,600.0999755859375,602.397216796875,2157839,389.8500061035156,391.7900085449219,389.07000732421875,390.4599914550781,1772398,292.0450134277344,293.5899963378906,291.75,293.3699035644531,4290117,87.30999755859375,87.33999633789062,86.51210021972656,86.58499908447266,3179028
2026-05-11 15:30:00+00:00,272.55999755859375,272.7699890136719,272.0950012207031,272.3800048828125,1368753,602.4349975585938,603.8300170898438,602.024169921875,603.8038940429688,561893,390.45989990234375,391.1400146484375,390.2300109863281,391.0690002441406,568980,293.3699951171875,293.8800048828125,292.8100891113281,292.8999938964844,1701615,86.58999633789062,86.66000366210938,86.41999816894531,86.52989959716797,1401578
