Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL,META,META,META,META,META
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-13 09:30:00-04:00,244.25999450683594,248.60000610351562,244.22999572753906,246.52999877929688,7172072,73.9000015258789,75.38999938964844,73.9000015258789,74.97000122070312,10107143,353.989990234375,355.75,351.7099914550781,353.0400085449219,2236358,317.0150146484375,323.45001220703125,316.45001220703125,320.19000244140625,12156474,661.510009765625,676.6199951171875,654.2000122070312,657.0,5309074
2026-07-13 10:30:00-04:00,246.5500030517578,249.33999633789062,246.14999389648438,248.76499938964844,4446333,74.97000122070312,75.44999694824219,74.56999969482422,74.75499725341797,4287174,353.0899963378906,353.7699890136719,351.8299865722656,352.6199951171875,1104562,320.2099914550781,320.2950134277344,316.8500061035156,317.2200012207031,3994197,657.1199951171875,664.5599975585938,656.3499755859375,659.510009765625,2197542
2026-07-13 11:30:00-04:00,248.76499938964844,249.0500030517578,247.6699981689453,248.16529846191406,2629803,74.76000213623047,74.80999755859375,74.46499633789062,74.65499877929688,3056891,352.625,353.5,352.05999755859375,353.5,784879,317.2200012207031,317.8999938964844,316.0899963378906,317.3699951171875,3728751,659.5,663.9650268554688,659.1300048828125,660.5250244140625,1409648
2026-07-13 12:30:00-04:00,248.1300048828125,248.64999389648438,247.39999389648438,248.42999267578125,2369175,74.66000366210938,75.0780029296875,74.33999633789062,74.42500305175781,2698122,353.4100036621094,354.17999267578125,352.4100036621094,353.3999938964844,688431,317.3399963378906,317.44000244140625,315.7799987792969,316.4700012207031,3615264,660.3400268554688,664.4600219726562,657.6599731445312,660.8250122070312,1623392
2026-07-13 13:30:00-04:00,248.5,248.66000366210938,247.72000122070312,248.5050048828125,2552792,74.42500305175781,74.59500122070312,74.33999633789062,74.45999908447266,2720196,353.42999267578125,353.69000244140625,352.5299987792969,353.114990234375,812540,316.489990234375,316.8450012207031,315.8999938964844,316.84051513671875,2357040,661.1400146484375,663.14990234375,659.3173828125,663.0150146484375,1510246
2026-07-13 14:30:00-04:00,248.5,249.64999389648438,247.81500244140625,247.91000366210938,4283424,74.45999908447266,74.5198974609375,74.01000213623047,74.06999969482422,3194432,353.114990234375,353.1300048828125,351.3599853515625,351.6300048828125,881613,316.8599853515625,317.5199890136719,316.1700134277344,316.3299865722656,4128503,662.8200073242188,663.5900268554688,658.3599853515625,658.7000122070312,1565651
2026-07-13 15:30:00-04:00,247.9199981689453,247.9550018310547,245.9600067138672,247.3699951171875,4323420,74.06999969482422,74.10569763183594,73.70999908447266,73.86000061035156,3872767,351.6000061035156,351.6499938964844,349.8399963378906,350.6705017089844,1396260,316.32501220703125,317.739990234375,316.04998779296875,317.4200134277344,4025682,658.77001953125,659.030029296875,654.8099975585938,656.72998046875,2135816
2026-07-14 09:30:00-04:00,245.52999877929688,247.25,243.8000030517578,245.41000366210938,6188087,72.63500213623047,73.5,72.27749633789062,73.33000183105469,8397464,348.8399963378906,354.0899963378906,348.8399963378906,353.7699890136719,2098281,313.6400146484375,315.68499755859375,311.9100036621094,314.9419860839844,6954014,652.0,662.6500244140625,649.0499877929688,657.8150024414062,3182309
