Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AAPL,AAPL,AAPL,AAPL,AAPL
2026-05-22 09:30:00-04:00,89.0199966430664,89.96990203857422,88.37999725341797,88.68990325927734,5510490,268.6499938964844,269.7850036621094,267.4800109863281,268.489990234375,5853067,607.489990234375,614.8099975585938,606.9550170898438,608.5900268554688,3210303,382.8500061035156,383.32000732421875,380.32501220703125,383.010009765625,3503427,306.05999755859375,309.2699890136719,305.8500061035156,308.6400146484375,9515427
2026-05-22 10:30:00-04:00,88.68499755859375,88.93000030517578,88.30999755859375,88.79010009765625,2719344,268.510009765625,269.25,267.9100036621094,269.0400085449219,3519010,608.7000122070312,611.6500244140625,607.9299926757812,610.3690185546875,901421,383.06500244140625,384.8500061035156,382.2300109863281,383.239990234375,1315157,308.635009765625,311.3999938964844,308.6199951171875,311.0050048828125,7739013
2026-05-22 11:30:00-04:00,88.80000305175781,88.91999816894531,88.41999816894531,88.61499786376953,1821056,269.0799865722656,269.30999755859375,268.05999755859375,268.239990234375,2209638,610.2449951171875,610.4600219726562,607.7048950195312,608.6500244140625,670103,383.239990234375,383.6600036621094,381.8800048828125,382.2200012207031,917335,311.0,311.0400085449219,309.7200012207031,309.9200134277344,4700296
2026-05-22 12:30:00-04:00,88.61499786376953,88.81999969482422,88.31999969482422,88.46499633789062,1918901,268.2449951171875,269.3599853515625,267.3500061035156,269.3500061035156,2397914,608.6900024414062,610.0499877929688,607.2999877929688,609.989990234375,936460,382.2001037597656,382.5185852050781,381.20001220703125,382.29998779296875,1028823,309.92999267578125,309.989990234375,308.82000732421875,309.860107421875,3550329
2026-05-22 13:30:00-04:00,88.49500274658203,88.61000061035156,88.20999908447266,88.29499816894531,2435264,269.3500061035156,269.6000061035156,267.6000061035156,268.010009765625,2641647,609.9849853515625,611.25,608.5700073242188,610.655029296875,1574998,382.3500061035156,382.6300048828125,380.3800048828125,380.6000061035156,966682,309.8699951171875,310.1549987792969,308.95001220703125,309.30999755859375,2598845
2026-05-22 14:30:00-04:00,88.29499816894531,88.54499816894531,88.16999816894531,88.49500274658203,1983166,268.0,268.3299865722656,266.57000732421875,266.80499267578125,2540986,610.655029296875,612.0349731445312,608.681396484375,608.8049926757812,947306,380.6099853515625,381.3450012207031,378.9700012207031,379.04998779296875,1264197,309.31500244140625,309.5799865722656,308.6400146484375,308.70001220703125,2681340
2026-05-22 15:30:00-04:00,88.48999786376953,88.66999816894531,88.24099731445312,88.5999984741211,2744518,266.82000732421875,267.25,266.239990234375,266.29998779296875,3536826,608.719970703125,610.969970703125,608.510009765625,610.3699951171875,1001688,379.05999755859375,379.70001220703125,378.260009765625,379.3900146484375,1442351,308.70001220703125,309.3999938964844,307.9700012207031,308.8800048828125,4183601
2026-05-26 09:30:00-04:00,88.38400268554688,88.7249984741211,87.55500030517578,87.67500305175781,5495760,267.57501220703125,269.29998779296875,265.4100036621094,265.4440002441406,8433362,609.5999755859375,614.469970703125,605.5850219726562,608.9400024414062,3457320,380.9949951171875,384.4125061035156,379.1400146484375,383.5,3901705,309.3999938964844,311.82000732421875,309.3500061035156,311.7200012207031,9245876
2026-05-26 10:30:00-04:00,87.68000030517578,87.79000091552734,87.25,87.72000122070312,3167525,265.41009521484375,265.41448974609375,263.5201110839844,263.84149169921875,5517323,608.7000122070312,608.9400024414062,605.6099853515625,607.1400146484375,1503408,383.5,385.3900146484375,381.94000244140625,382.2149963378906,2251147,311.7300109863281,311.80999755859375,310.8599853515625,311.3599853515625,3935923
2026-05-26 11:30:00-04:00,87.72000122070312,88.04000091552734,87.61000061035156,87.98999786376953,1907429,263.8800048828125,264.07000732421875,263.2200012207031,264.05999755859375,3119940,607.0900268554688,609.989990234375,605.3001098632812,609.9400024414062,1200481,382.2099914550781,383.3450012207031,381.80999755859375,382.8900146484375,1496199,311.3800048828125,311.57000732421875,309.7699890136719,310.4704895019531,3714586
2026-05-26 12:30:00-04:00,87.98999786376953,88.08000183105469,87.91000366210938,88.01000213623047,241774,264.07000732421875,264.25,263.7101135253906,263.7101135253906,522055,609.9400024414062,610.9550170898438,609.3800048828125,610.1199951171875,205061,382.8700866699219,383.2699890136719,382.260009765625,382.260009765625,148724,310.4849853515625,310.7699890136719,310.0201110839844,310.1000061035156,568960
